"","Env.value","AI","LCI","UCI","SPECIES","LIFE.STAGE","ENV.COR","p.value","AIC","DEV.EXP","RMSE"
"1",12.3105783471458,0.000208322669534702,1.26968974973846e-05,0.0034180266991211,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"2",12.6319375793226,0.000168779607325617,1.10638047155426e-05,0.00257475222867692,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"3",12.9532968114993,0.000136864349029992,9.58066460233847e-06,0.00195517229888534,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"4",13.274656043676,0.000111227606092452,8.26356137661712e-06,0.00149712451970947,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"5",13.5960152758528,9.0776858474817e-05,7.12854951563429e-06,0.00115597682480623,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"6",13.9173745080295,7.45874708086794e-05,6.18180127730277e-06,0.000899946561217019,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"7",14.2387337402062,6.18753765344161e-05,5.41582459457559e-06,0.000706921384623571,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"8",14.5600929723829,5.19688023808386e-05,4.81220099736823e-06,0.000561231008924125,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"9",14.8814522045597,4.43015713187429e-05,4.34751029830172e-06,0.000451437509435304,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"10",15.2028114367364,3.84098615124758e-05,3.99801977527671e-06,0.000369012047046582,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"11",15.5241706689131,3.38981334473624e-05,3.73833295045583e-06,0.000307378573937635,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"12",15.8455299010899,3.03964893203675e-05,3.53977971886243e-06,0.000261018096148689,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"13",16.1668891332666,2.75701885259336e-05,3.37616341762407e-06,0.000225141736738099,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"14",16.4882483654433,2.51461820471983e-05,3.22782838132519e-06,0.000195899656626487,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"15",16.8096075976201,2.29238867270153e-05,3.08178410973479e-06,0.000170519596428918,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"16",17.1309668297968,2.07838200342471e-05,2.92706297056117e-06,0.000147577001096481,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"17",17.4523260619735,1.86695774251913e-05,2.75438585448402e-06,0.00012654476883396,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"18",17.7736852941502,1.65608079766268e-05,2.55971422449525e-06,0.00010714491415259,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"19",18.095044526327,1.44828757544167e-05,2.3463453954399e-06,8.93959135451781e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"20",18.4164037585037,1.24994891309797e-05,2.12290955914734e-06,7.35958005663848e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"21",18.7377629906804,1.06742832995261e-05,1.89935800309658e-06,5.99888613798879e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"22",19.0591222228572,9.04520704692289e-06,1.68505468083435e-06,4.85537777807854e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"23",19.3804814550339,7.62715389582974e-06,1.487888490497e-06,3.90980082998282e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"24",19.7018406872106,6.41939733307595e-06,1.31276573386097e-06,3.13907204133856e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"25",20.0231999193874,5.41170066696167e-06,1.16083155901396e-06,2.522890068019e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
"26",20.3445591515641,4.58699812541342e-06,1.03158380784601e-06,2.03963571767183e-05,"White Perch","YoY","WATER.TEMPERATURE","<0.01",-550.66305552847,0.460458089903911,0.000563943593659685
